"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","group","rt","stimulus","response","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","name","place_id","lat","lng","culture","loc1","loc2","loct","address","loc_id_prev","angle","loc_id"
"trial","survey","10","137807","0.0-2.0-8.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18685","","{""P0_Q0"":null,""ambiguous"":3,""objects"":2,""invisible"":5,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Fairfield Inn and Suites by Marriott New York Manhattan Times Square","FNNYCFIF","40.75652","-73.99247","US","NYC","CTR","HTL","330 WEST 40TH STREET, NEW YORK, NY 10018","us_nyc-c_htl_a_mid1","0","us_nyc-c_htl_a_mid1_0"
"trial","survey","11","147797","0.0-2.0-9.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","9960","","{""P0_Q0"":null,""ambiguous"":3,""objects"":3,""invisible"":3,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Nearby location of Multicultural Academy (us_arb_sch_a_3)","ChIJ-d4ve5SlPIgRkuG2a85xlZo","42.2058484","-83.701771","US","ARB","ARB","SCH","2866 Glen Creek Dr, Ann Arbor, MI 48108, USA","us_arb_sch_b_3","180","us_arb_sch_b_3_180"
"trial","survey","12","167018","0.0-2.0-10.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","19195","","{""P0_Q0"":null,""ambiguous"":1,""objects"":3,""invisible"":5,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Tsukishima 2nd Elementary School","ChIJU0n9-HyJGGARNQSXKv-kIIY","35.6602474","139.7758266","JP","TOK","CTR","SCH","1-chōme-12-2 Kachidoki, Chuo City, Tokyo 104-0054, Japan","jp_tok-c_sch_a_3","180","jp_tok-c_sch_a_3_180"
"trial","survey","13","184640","0.0-2.0-11.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","17588","","{""P0_Q0"":null,""ambiguous"":5,""objects"":5,""invisible"":5,""chaos"":3}","","","","","","","","","","","","","","","","","[]","United States Postal Service","ChIJb5pfwxb2wokR4-EvJ1w0znA","40.8036447","-73.9541827","US","NYC","CTR","POS","232 W 116th St, New York, NY 10026, USA","us_nyc-c_pos_a_7","270","us_nyc-c_pos_a_7_270"
"trial","survey","14","208009","0.0-2.0-12.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","23345","","{""P0_Q0"":null,""ambiguous"":4,""objects"":3,""invisible"":4,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Adahi Sano Post Office","ChIJuYxTuuOPGGAREn1yJl24fbw","35.7864794","139.8411136","JP","HIK","HIK","POS","2-chōme-11-12 Sano, Adachi City, Tokyo 121-0053, Japan","jp_hik_pos_a_3","270","jp_hik_pos_a_3_270"
"trial","survey","15","229644","0.0-2.0-13.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","21607","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":3,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Nearby location of Baymont by Wyndham Chelsea (us_chl_htl_a_mid1)","ChIJPR5PbrjOPIgRniUqQCWoPWs","42.298341","-84.0291029","US","CHL","CHL","HTL","1620 Commerce Park Dr suite 100, Chelsea, MI 48118, USA","us_chl_htl_b_mid1","90","us_chl_htl_b_mid1_90"
"trial","survey","16","246521","0.0-2.0-14.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","16855","","{""P0_Q0"":null,""ambiguous"":3,""objects"":5,""invisible"":4,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Aman Tokyo (jp_tok-c_htl_a_ultra1)","ChIJ5W6CKziLGGAR73lO8PA1mRk","35.6844083","139.7640849","JP","TOK","CTR","HTL","1-chōme-3-4 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan","jp_tok-c_htl_b_ultra1","90","jp_tok-c_htl_b_ultra1_90"
"trial","survey","17","271163","0.0-2.0-15.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","24609","","{""P0_Q0"":null,""ambiguous"":5,""objects"":3,""invisible"":4,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Torahime Post Office (jp_tor_pos_a_1)","ChIJgxpx9J4oAmARIkc4T1H6KS0","35.420504","136.263204","JP","TOR","TOR","POS","171-3 Gomura, Nagahama, Shiga 529-0141, Japan","jp_tor_pos_b_1","90","jp_tor_pos_b_1_90"
"trial","survey","18","287296","0.0-2.0-16.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","16107","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":4,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Adachi Asahicho Post Office (jp_tok-p_pos_a_4)","ChIJhXM9R1KOGGAR7zoOSZK_VIU","35.7480131","139.8100604","JP","TOK","PER","POS","Japan, 〒120-0026 Tokyo, Adachi City, Senjuasahichō, 22−９ コーポ山田","jp_tok-p_pos_b_4","90","jp_tok-p_pos_b_4_90"
"trial","survey","19","302873","0.0-2.0-17.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","15546","","{""P0_Q0"":null,""ambiguous"":2,""objects"":2,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Katsushika City Iizuka Elementary School (jp_tok-p_sch_a_3)","ChIJ1_4-r2CFGGARraiLOcCqmco","35.7780152","139.8593261","JP","TOK","PER","SCH","Japan, 〒125-0035 Tokyo, Katsushika City, Minamimizumoto, 2-chōme−28−１６ セブンツークラッシックマンション","jp_tok-p_sch_b_3","90","jp_tok-p_sch_b_3_90"
"trial","survey","20","318535","0.0-2.0-18.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","15636","","{""P0_Q0"":null,""ambiguous"":2,""objects"":5,""invisible"":5,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Ryōgoku Post Office","ChIJ-792HbOOGGARe1sZkDax64U","35.6954419","139.7857167","JP","TOK","CTR","POS","2-chōme-27-12 Higashinihonbashi, Chuo City, Tokyo 103-0004, Japan","jp_tok-c_pos_a_5","270","jp_tok-c_pos_a_5_270"
"trial","survey","21","339660","0.0-2.0-19.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","21104","","{""P0_Q0"":null,""ambiguous"":5,""objects"":4,""invisible"":5,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Nearby location of Baymont by Wyndham Chelsea (us_chl_htl_a_mid1)","ChIJPR5PbrjOPIgRniUqQCWoPWs","42.298341","-84.0291029","US","CHL","CHL","HTL","1620 Commerce Park Dr suite 100, Chelsea, MI 48118, USA","us_chl_htl_b_mid1","0","us_chl_htl_b_mid1_0"
"trial","survey","22","360684","0.0-2.0-20.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","21002","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":5,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Nearby location of Sakata Elementary School (jp_hik_sch_a_4)","ChIJBzK5RHYsAmARdmisGXiOTX0","35.3390583","136.2876793","JP","HIK","HIK","SCH","528 Ukano, Maibara, Shiga 521-0062, Japan","jp_hik_sch_b_4","270","jp_hik_sch_b_4_270"
"trial","survey","23","382451","0.0-2.0-21.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","21745","","{""P0_Q0"":null,""ambiguous"":4,""objects"":5,""invisible"":4,""chaos"":5}","","","","","","","","","","","","","","","","","[]","Nearby location of BASIS Independent Manhattan (us_nyc-c_sch_a_1)","ChIJ5ZYR6Sb2wokRg8Qj29B4aF4","40.7956348","-73.9670782","US","NYC","CTR","SCH","120 W 100th St, New York, NY 10025, USA","us_nyc-c_sch_b_1","270","us_nyc-c_sch_b_1_270"
"trial","survey","24","400943","0.0-2.0-22.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18461","","{""P0_Q0"":null,""ambiguous"":5,""objects"":5,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Flexstay Inn Shinagawa","HSTYOAIW","35.62213","139.7401","JP","TOK","PER","HTL","1-22-19, KITASHINAGAWA, TOKYO 140-0001","jp_tok-p_htl_a_mid2","180","jp_tok-p_htl_a_mid2_180"
"trial","survey","25","427576","0.0-2.0-23.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","26605","","{""P0_Q0"":null,""ambiguous"":4,""objects"":3,""invisible"":3,""chaos"":5}","","","","","","","","","","","","","","","","","[]","Nearby location of United States Postal Service (us_arb_pos_a_1)","ChIJyxaGSDe7PIgRdsmUdk5LYuo","42.1703237","-83.7718728","US","ARB","ARB","POS","450 E Michigan Ave, Saline, MI 48176, USA","us_arb_pos_b_1","90","us_arb_pos_b_1_90"
"trial","survey","26","443509","0.0-2.0-24.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","15912","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":4,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of THOMPSON CENTRAL PARK - NEW YORK (us_nyc-c_htl_a_high2)","ChIJO4JkSfdYwokRIlgrbHiZhtk","40.7652312","-73.9775167","US","NYC","CTR","HTL","116 W 58th St, New York, NY 10019, USA","us_nyc-c_htl_b_high2","0","us_nyc-c_htl_b_high2_0"
"trial","survey","27","462027","0.0-2.0-25.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18500","","{""P0_Q0"":null,""ambiguous"":4,""objects"":4,""invisible"":4,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of 長浜BGホテル (us_chl_htl_a_mid1)","ChIJ2S_MbyspAmARkndCsjafTIg","35.3930344","136.2840486","JP","TOR","TOR","HTL","222-1 Kawasakichō, Nagahama, Shiga 526-0846, Japan","jp_tor_htl_b_mid1","90","jp_tor_htl_b_mid1_90"
"trial","survey","28","485729","0.0-2.0-26.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","23684","","{""P0_Q0"":null,""ambiguous"":2,""objects"":5,""invisible"":5,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Nearby location of Ryōgoku Post Office (jp_tok-c_pos_a_5)","ChIJBRNSarKOGGARKk3b5BlK71s","35.696528","139.784235","JP","TOK","CTR","POS","Japan, 〒111-0053 Tokyo, Taito City, Asakusabashi, 1-chōme−2−８ 丸一ビル","jp_tok-c_pos_b_5","270","jp_tok-c_pos_b_5_270"
"trial","survey","29","502117","0.0-2.0-27.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","16370","","{""P0_Q0"":null,""ambiguous"":5,""objects"":4,""invisible"":5,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Kotō 3rd Elementary School","ChIJyWBTvO3XA2ARubFCKa9mR4A","35.130888","136.225113","JP","HIK","HIK","SCH","340 Kotakarichō, Higashiomi, Shiga 527-0125, Japan","jp_hik_sch_a_3","270","jp_hik_sch_a_3_270"
"trial","survey","30","520279","0.0-2.0-28.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18129","","{""P0_Q0"":null,""ambiguous"":3,""objects"":4,""invisible"":4,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Nearby location of Comfort Inn JFK Airport (us_nyc-p_htl_a_low2)","ChIJ8dO9l21nwokRghi6bJiuq5c","40.6671742","-73.806723","US","NYC","PER","HTL","133-38 135th Ave, Queens, NY 11420, USA","us_nyc-p_htl_b_low2","180","us_nyc-p_htl_b_low2_180"
"trial","survey","31","536657","0.0-2.0-29.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","16353","","{""P0_Q0"":null,""ambiguous"":4,""objects"":5,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Higashi-Asakusa Elementary School (jp_tok-c_sch_a_8)","ChIJAytTi-2OGGARfOL1JBbMOoM","35.725672","139.7971627","JP","TOK","CTR","SCH","Japan, 〒111-0021 Tokyo, Taito City, Nihonzutsumi, 1-chōme−31−２ 平乃屋","jp_tok-c_sch_b_8","180","jp_tok-c_sch_b_8_180"
"trial","survey","32","553627","0.0-2.0-30.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","16949","","{""P0_Q0"":null,""ambiguous"":3,""objects"":5,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Marunouchi Center Bldg. Post Office","ChIJEXvU5PiLGGARr5EAERW7XhI","35.6836406","139.7655925","JP","TOK","CTR","POS","1-chōme-6-1 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan","jp_tok-c_pos_a_8","0","jp_tok-c_pos_a_8_0"
"trial","survey","33","571686","0.0-2.0-31.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18040","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":5,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Baymont by Wyndham Chelsea","ChIJ3WjGMLjOPIgRTSh5bhMfx-Q","42.2995297","-84.0281015","US","CHL","CHL","HTL","1540 Commerce Park Dr, Chelsea, MI 48118, USA","us_chl_htl_a_mid1","0","us_chl_htl_a_mid1_0"
"trial","survey","34","586567","0.0-2.0-32.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","14860","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of United States Postal Service (us_nyc-c_pos_a_4)","ChIJcyZXC532wokRElZ4iPS6aWo","40.8396207","-73.9374588","US","NYC","CTR","POS","2170 Amsterdam Ave, New York, NY 10032, USA","us_nyc-c_pos_b_4","270","us_nyc-c_pos_b_4_270"
"trial","survey","35","608872","0.0-2.0-33.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","22285","","{""P0_Q0"":null,""ambiguous"":1,""objects"":5,""invisible"":5,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of The Williamsburg Hotel (us_nyc-p_htl_a_high1)","ChIJH00_Y11ZwokR19006V8VF7Q","40.7203468","-73.9589785","US","NYC","PER","HTL","84 N 9th St, Brooklyn, NY 11249, USA","us_nyc-p_htl_b_high1","0","us_nyc-p_htl_b_high1_0"
"trial","survey","36","628756","0.0-2.0-34.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","19852","","{""P0_Q0"":null,""ambiguous"":3,""objects"":5,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Bronx Charter School for Excellence 3 (us_nyc-p_sch_a_6)","ChIJe_mvGSPzwokRCYjGIqRdQGo","40.8872687","-73.8619035","US","NYC","PER","SCH","672 E 224th St, Bronx, NY 10466, USA","us_nyc-p_sch_b_6","270","us_nyc-p_sch_b_6_270"
"trial","survey","37","648339","0.0-2.0-35.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","19555","","{""P0_Q0"":null,""ambiguous"":5,""objects"":1,""invisible"":3,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Quality Inn and Suites Ann Arbor Hwy 23","QIARB356","42.25224","-83.68168","US","ARB","ARB","HTL","2376 CARPENTER ROAD, ANN ARBOR, MI 48018","us_arb_htl_a_mid2","270","us_arb_htl_a_mid2_270"
"trial","survey","38","665205","0.0-2.0-36.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","16837","","{""P0_Q0"":null,""ambiguous"":5,""objects"":1,""invisible"":5,""chaos"":3}","","","","","","","","","","","","","","","","","[]","United States Postal Service","ChIJ1WavSUSuPIgRi9j9aKANWYg","42.2745042","-83.7339227","US","ARB","ARB","POS","1214 S University Ave Ste S104, Ann Arbor, MI 48104, USA","us_arb_pos_a_4","180","us_arb_pos_a_4_180"
"trial","survey","39","681509","0.0-2.0-37.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","16281","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":5,""chaos"":1}","","","","","","","","","","","","","","","","","[]","The Ritz-Carlton Tokyo","RZTYORZZ","35.66622","139.7315","JP","TOK","CTR","HTL","TOKYO MIDTOWN 9-7-1 AKASAKA MI, TOKYO 107-6245","jp_tok-c_htl_a_ultra2","270","jp_tok-c_htl_a_ultra2_270"
"trial","survey","40","696161","0.0-2.0-38.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","14625","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of The Williamsburg Hotel (us_nyc-p_htl_a_high1)","ChIJH00_Y11ZwokR19006V8VF7Q","40.7203468","-73.9589785","US","NYC","PER","HTL","84 N 9th St, Brooklyn, NY 11249, USA","us_nyc-p_htl_b_high1","180","us_nyc-p_htl_b_high1_180"
"trial","survey","41","745456","0.0-2.0-39.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","49276","","{""P0_Q0"":null,""ambiguous"":4,""objects"":3,""invisible"":5,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Nearby location of レジーナリゾートびわ湖長浜 (jp_hik_htl_a_high2)","ChIJJclVFRspAmARIuM3ZJ4DJj4","35.3795647","136.2582185","JP","HIK","HIK","HTL","1-6-2 Kanebōchō, Nagahama, Shiga 526-0068, Japan","jp_hik_htl_b_high2","180","jp_hik_htl_b_high2_180"
"attention-check","survey","42","751411","0.0-2.0-40.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","5936","","{""P0_Q0"":null,""ambiguous"":null,""objects"":null,""invisible"":null,""chaos"":null}","","","","","","","","","","","","","","","","","[]","","","","","","","","","","","",""
"half-way","html-button-response","43","767169","0.0-2.0-41.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","null","
            <h3>You are now half way through the study.</h3>
            <p>Please take a quick, 15-second break before you continue.</p>
            <img src='assets/img/countdown-15.gif'>
            <p>The study will automatically advance forward after the countdown is complete. However, you may click ""Next"" to advance forward now if you wish.</p>
        ","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
